City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atar,MR,82.15,scattered clouds,20.5169,-13.0499,
10,Kpandae,GH,94.57,clear sky,8.4689,-0.0113,
12,Rikitea,PF,77.49,overcast clouds,-23.1203,-134.9692,
17,Arraial Do Cabo,BR,80.46,scattered clouds,-22.9661,-42.0278,
18,Avarua,CK,78.85,few clouds,-21.2078,-159.775,
19,Tessalit,ML,75.51,clear sky,20.1986,1.0114,
20,Camocim,BR,82.4,overcast clouds,-2.9022,-40.8411,
26,Caravelas,BR,80.31,overcast clouds,-17.7125,-39.2481,
27,Ahipara,NZ,71.02,broken clouds,-35.1667,173.1667,
31,Busselton,AU,73.26,clear sky,-33.65,115.3333,
33,Urucara,BR,74.48,heavy intensity rain,-2.5364,-57.76,
35,Maningrida,AU,78.98,overcast clouds,-12.0667,134.2667,
38,Kayes,ML,89.49,few clouds,14.0,-11.0,
39,Kavaratti,IN,79.3,few clouds,10.5669,72.642,
44,Rio Grande,BR,72.95,overcast clouds,-32.035,-52.0986,
48,Cape Town,ZA,73.81,clear sky,-33.9258,18.4232,
49,Georgetown,MY,82.33,thunderstorm with heavy rain,5.4112,100.3354,
51,Maiduguri,NG,83.62,clear sky,11.8464,13.1603,
55,Otane,NZ,71.01,clear sky,-39.8833,176.6333,
57,Port Augusta,AU,72.72,overcast clouds,-32.5,137.7667,
59,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,
60,Cockburn Town,TC,75.15,few clouds,21.4612,-71.1419,
61,Innisfail,AU,76.46,moderate rain,-17.5333,146.0333,
66,Puerto Ayora,EC,74.55,clear sky,-0.7393,-90.3518,
71,Vaini,TO,80.76,broken clouds,-21.2,-175.2,
79,Meulaboh,ID,80.31,overcast clouds,4.1363,96.1285,
88,Vanimo,PG,78.37,broken clouds,-2.6741,141.3028,
91,Malanje,AO,75.25,overcast clouds,-9.5402,16.341,
92,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,
96,Atuona,PF,77.05,light rain,-9.8,-139.0333,
97,Hermanus,ZA,78.91,scattered clouds,-34.4187,19.2345,
98,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,
101,General Jose Eduvigis Diaz,PY,79.09,scattered clouds,-27.1667,-58.4167,
103,Amta,IN,73.02,overcast clouds,22.58,88.0083,
104,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,
108,Eydhafushi,MV,81.84,scattered clouds,5.1033,73.0708,
109,Maracana,BR,78.21,overcast clouds,-0.7667,-47.45,
110,Atambua,ID,74.89,overcast clouds,-9.1061,124.8925,
112,Yulara,AU,75.04,scattered clouds,-25.2406,130.9889,
116,Cidreira,BR,75.61,overcast clouds,-30.1811,-50.2056,
120,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,
124,Pontianak,ID,76.98,moderate rain,-0.0333,109.3333,
128,Bredasdorp,ZA,73.27,broken clouds,-34.5322,20.0403,
129,Kuliyapitiya,LK,82.42,scattered clouds,7.4688,80.0401,
