City_ID,City,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Lat,Lng
0,Qaanaaq,-7.94,51,92,8.77,overcast clouds,GL,77.484,-69.3632
1,Bluff,49.8,78,99,10.89,overcast clouds,NZ,-46.6,168.3333
2,Atar,82.15,9,29,10.36,scattered clouds,MR,20.5169,-13.0499
3,Fairbanks,5.34,63,100,3.44,overcast clouds,US,64.8378,-147.7164
4,Iskateley,-2.16,99,92,4.72,overcast clouds,RU,67.6803,53.1512
5,Ushuaia,44.26,53,20,11.5,few clouds,AR,-54.8,-68.3
6,Severo-Kurilsk,28.36,85,100,4.85,overcast clouds,RU,50.6789,156.125
7,Hilo,67.24,75,20,8.05,few clouds,US,19.7297,-155.09
8,Longyearbyen,15.64,79,75,4.61,broken clouds,SJ,78.2186,15.6401
9,Krasnoselkup,16.52,95,100,9.84,light snow,RU,65.7,82.4667
10,Kpandae,94.57,9,1,6.87,clear sky,GH,8.4689,-0.0113
11,Lancaster,55.87,94,100,3.0,light rain,US,40.2504,-76.2499
12,Rikitea,77.49,74,100,9.64,overcast clouds,PF,-23.1203,-134.9692
13,Hobart,61.27,79,75,1.01,broken clouds,AU,-42.8794,147.3294
14,Tuktoyaktuk,-26.77,100,94,7.23,overcast clouds,CA,69.4541,-133.0374
15,Tunoshna,21.18,93,100,4.47,mist,RU,57.5459,40.1254
16,Mataura,49.48,99,100,2.13,light rain,NZ,-46.1927,168.8643
17,Arraial Do Cabo,80.46,83,40,5.75,scattered clouds,BR,-22.9661,-42.0278
18,Avarua,78.85,83,20,6.91,few clouds,CK,-21.2078,-159.775
19,Tessalit,75.51,8,0,19.39,clear sky,ML,20.1986,1.0114
20,Camocim,82.4,72,93,11.79,overcast clouds,BR,-2.9022,-40.8411
21,Victoria,60.33,66,40,5.99,scattered clouds,HK,22.2855,114.1577
22,Clyde River,-3.77,84,100,27.63,light snow,CA,70.4692,-68.5914
23,Eucaliptus,46.09,77,100,3.09,overcast clouds,BO,-17.5833,-67.5167
24,Kahului,67.84,79,0,3.44,clear sky,US,20.8947,-156.47
25,Husavik,28.31,90,100,22.15,light snow,IS,66.0449,-17.3389
26,Caravelas,80.31,71,93,3.83,overcast clouds,BR,-17.7125,-39.2481
27,Ahipara,71.02,89,84,13.73,broken clouds,NZ,-35.1667,173.1667
